I, [2020-01-14T14:18:17.409250 #11720]  INFO -- default-ubuntu-1604: -----> Cleaning up any prior instances of <default-ubuntu-1604>
I, [2020-01-14T14:18:17.410189 #11720]  INFO -- default-ubuntu-1604: -----> Destroying <default-ubuntu-1604>...
I, [2020-01-14T14:18:17.412949 #11720]  INFO -- default-ubuntu-1604: Finished destroying <default-ubuntu-1604> (0m0.00s).
I, [2020-01-14T14:18:17.413625 #11720]  INFO -- default-ubuntu-1604: -----> Testing <default-ubuntu-1604>
I, [2020-01-14T14:18:17.413882 #11720]  INFO -- default-ubuntu-1604: -----> Creating <default-ubuntu-1604>...
I, [2020-01-14T14:18:18.932388 #11720]  INFO -- default-ubuntu-1604: Detected platform: ubuntu version 16.04 on x86_64. Instance Type: t2.micro. Default username: ubuntu (default).
I, [2020-01-14T14:18:18.932887 #11720]  INFO -- default-ubuntu-1604: If you are not using an account that qualifies under the AWS
free-tier, you may be charged to run these suites. The charge
should be minimal, but neither Test Kitchen nor its maintainers
are responsible for your incurred costs.

I, [2020-01-14T14:18:19.285212 #11720]  INFO -- default-ubuntu-1604: Created automatic security group sg-0006f489a797023f1
I, [2020-01-14T14:18:20.615334 #11720]  INFO -- default-ubuntu-1604: Instance <i-0117c12b9dc9f2361> requested.
I, [2020-01-14T14:18:20.615814 #11720]  INFO -- default-ubuntu-1604: Polling AWS for existence, attempt 0...
I, [2020-01-14T14:18:20.741480 #11720]  INFO -- default-ubuntu-1604: Attempting to tag the instance, 0 retries
I, [2020-01-14T14:18:20.944432 #11720]  INFO -- default-ubuntu-1604: EC2 instance <i-0117c12b9dc9f2361> created.
I, [2020-01-14T14:18:20.944909 #11720]  INFO -- default-ubuntu-1604: Waited 0/300s for instance <i-0117c12b9dc9f2361> volumes to be ready.
I, [2020-01-14T14:18:26.289812 #11720]  INFO -- default-ubuntu-1604: Waited 5/300s for instance <i-0117c12b9dc9f2361> volumes to be ready.
I, [2020-01-14T14:18:27.053852 #11720]  INFO -- default-ubuntu-1604: Waited 0/300s for instance <i-0117c12b9dc9f2361> to become ready.
I, [2020-01-14T14:18:32.199585 #11720]  INFO -- default-ubuntu-1604: Waited 5/300s for instance <i-0117c12b9dc9f2361> to become ready.
I, [2020-01-14T14:18:37.443095 #11720]  INFO -- default-ubuntu-1604: Waited 10/300s for instance <i-0117c12b9dc9f2361> to become ready.
I, [2020-01-14T14:18:42.687934 #11720]  INFO -- default-ubuntu-1604: Waited 15/300s for instance <i-0117c12b9dc9f2361> to become ready.
I, [2020-01-14T14:18:47.972200 #11720]  INFO -- default-ubuntu-1604: Waited 20/300s for instance <i-0117c12b9dc9f2361> to become ready.
I, [2020-01-14T14:18:48.130862 #11720]  INFO -- default-ubuntu-1604: EC2 instance <i-0117c12b9dc9f2361> ready (hostname: ec2-34-254-156-196.eu-west-1.compute.amazonaws.com).
I, [2020-01-14T14:18:55.505252 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:18:58.777127 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:19:02.021027 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:19:05.273749 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:19:08.512699 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:19:11.785138 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:19:15.070665 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:19:18.343575 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:19:21.613767 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:19:24.922496 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:19:28.159615 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:19:31.385705 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:19:34.612811 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:19:37.871574 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:19:41.144684 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:19:44.386309 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:19:47.645239 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:19:50.874472 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:19:54.113208 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:19:57.389466 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:20:00.628504 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:20:03.878560 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:20:07.068821 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:20:10.317635 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:20:13.623402 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:20:16.854101 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:20:20.080213 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:20:23.380391 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:20:26.638927 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:20:29.895845 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:20:33.143482 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:20:36.382556 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:20:39.660256 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:20:42.885604 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:20:46.320258 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:20:49.604625 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:20:52.897570 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:20:56.150182 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:20:59.433145 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:21:02.669989 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:21:05.999841 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:21:09.255038 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:21:12.484274 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:21:15.731159 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:21:18.987536 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:21:22.256447 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:21:25.537334 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:21:28.787642 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:21:32.044444 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:21:35.283242 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:21:38.542489 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:21:41.754937 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:21:44.976880 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:21:48.244541 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:21:51.461657 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:21:54.696180 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2020-01-14T14:21:57.919939 #11720]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-254-156-196.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
